id	title	created	sumVotesIncremented	spinoffCount
2184946386	Hyphae	2013-10-08T20:11:48Z	9	10
4765722391609344	Coding a circular orbit	2015-11-04T16:23:00Z	9	0
4834587234533376	Spherical coordinate system	2014-01-13T14:47:35Z	9	13
5313601069514752	Rolling sphere	2015-12-14T12:31:19Z	9	1
5895195197046784	Test your coding skills	2015-12-14T21:32:02Z	9	3
6363400019378176	Interactive: Build your own shape	2015-08-18T11:28:34Z	9	6
2498661382	Circuit test	2014-01-05T13:45:36Z	19	10
1319508440	Challenge - Euler's totient function	2013-02-02T17:43:03Z	13	9
1104382484	3D viewer - AP Calc 1b	2012-11-17T00:53:59Z	8	3
2204545786	Fraunhofer lines	2013-10-12T17:15:18Z	8	3
4200241366	Hex grid	2016-04-17T15:00:35Z	8	3
5841994807	Animação com interpolação linear	2016-06-15T18:28:30Z	8	0
4622139292385280	Interactive: String art	2014-12-09T23:28:47Z	8	5
4650045800448000	Interactive: Modeling grass	2015-03-14T12:54:53Z	8	9
4719169326415872	Spin-off of "Textured box"	2016-06-22T15:19:13Z	8	1
5026439924154368	Heist	2016-01-06T11:21:14Z	8	3
5060834563325952	Enclose 3.0 programming language with new text editor	2015-11-12T09:39:20Z	8	0
5260249041469440	Casting challenge	2015-08-12T10:54:28Z	8	2
5294587418640384	What is alternative splicing?	2015-08-06T15:34:38Z	8	2
5314579572457472	Lighting spheres	2015-02-18T16:22:38Z	8	4
5338133020540928	Biohazard sign	2014-12-04T14:45:59Z	8	4
5711958628761600	Rigging Knick's face	2016-02-24T08:05:37Z	8	1
5895543533600768	Modelling an epidemic	2014-12-04T20:54:48Z	8	2
5902864482304000	Gene Regulation Challenge	2015-05-09T11:12:48Z	8	3
6225123883352064	Spin-off of "TARDIS in the Moonlight"	2014-01-11T23:11:03Z	8	5
6436122472742912	Interactive: 3D cube	2015-03-17T17:54:24Z	8	6
1569150887	Survival Version 2	2013-05-01T21:59:25Z	12	2
2225467301	Rainbow	2013-10-15T08:50:17Z	12	12
6239267847929856	Constructing curves using repeated linear interpolation	2016-06-19T08:45:42Z	12	2
6660736575733760	Create a younger model using scaling	2016-01-22T13:22:29Z	12	1
1140660718	Graphing inequatilities	2012-12-07T00:22:22Z	7	4
1200456705	Simulation of the left ventricle	2013-04-15T10:55:02Z	7	2
1242792193	2D Collision	2014-02-01T19:33:09Z	7	4
1547272093	3D caffeine molecule	2013-08-07T15:41:33Z	7	8
4623868778250240	Interactive: 3D torus	2015-03-17T18:04:33Z	7	2
4780939930107904	Textured sphere	2015-12-11T15:00:40Z	7	2
4930679668473856	Cube rotated around X Y and Z	2015-11-07T11:20:31Z	7	36
4975614656249856	Exploring orbits	2014-01-21T22:04:22Z	7	7
5015628140249088	Interactive: Midpoint of a line segment	2015-03-14T20:59:38Z	7	4
5388251446378496	Lighting spheres 2	2015-02-22T15:46:50Z	7	4
5889541176557568	Text box	2016-03-31T22:17:28Z	7	8
5935628480282624	3D rig	2016-02-22T17:43:52Z	7	0
5977331926171648	Turbulent images	2015-10-26T21:35:36Z	7	0
6094896452337664	Simple fluid movement	2015-04-21T18:47:59Z	7	5
6227527482867712	Cubic interpolation movement	2015-09-27T15:22:25Z	7	5
6739584228261888	Input test	2015-11-07T22:27:11Z	7	0
